"","geneSymbol","mRNA_medvals"
"TRIM28","TRIM28",4253.7815
"SMC4","SMC4",1847.8325
"LIN28B","LIN28B",0.3366
"OR10K2","OR10K2",0
"PAQR3","PAQR3",361.4534
"TOM1L2","TOM1L2",548.5575
"ARHGEF18","ARHGEF18",1333.9376
"FAM53C","FAM53C",1001.8149
"PRKACA","PRKACA",1866.62375
"TK1","TK1",203.7147
"YY1","YY1",1184.28175
"RAE1","RAE1",776.1101
"TNFRSF14","TNFRSF14",615.04695
"GBP2","GBP2",1356.3312
"DLG5","DLG5",1433.61605
"STAT2","STAT2",1824.5394
"ABCC5","ABCC5",974.2229
"LRRFIP2","LRRFIP2",781.3496
"ST3GAL2","ST3GAL2",301.1562
"RNF113A","RNF113A",285.4562
"MYLPF","MYLPF",1.0576
"MTFR1","MTFR1",599.2344
"DPCD","DPCD",110.3051
"ZNF219","ZNF219",543.771
"PRPF38B","PRPF38B",893.3371
"ADAP2","ADAP2",368.4496
"SCAF4","SCAF4",704.7135
"ARRDC3","ARRDC3",1361.3218
"C16ORF58","C16ORF58",2419.03285
"CCDC15","CCDC15",35.8403
"ZNF606","ZNF606",159.1571
"TRIM8","TRIM8",1829.4181
"C20ORF141","C20ORF141",0
"FAM114A1","FAM114A1",573.35345
"ARMC12","ARMC12",2.5603
"CCL23","CCL23",2.38875
"DGKD","DGKD",617.6941
"SPAG8","SPAG8",8.9596
"CCDC84","CCDC84",87.6751
"ANKRD13D","ANKRD13D",522.12405
"SFXN4","SFXN4",370.7523
"PUF60","PUF60",2194.5756
"MCM3AP","MCM3AP",1709.91855
"CDK16","CDK16",2164.52925
"CLCN4","CLCN4",47.83955
"FOXH1","FOXH1",2.2787
"BRD2","BRD2",4313.8654
"CCDC22","CCDC22",521.6539
"CNKSR2","CNKSR2",3.1013
"GSPT2","GSPT2",236.7374
"HCN3","HCN3",90.7777
"FAAH2","FAAH2",11.6094
"TNFRSF4","TNFRSF4",51.8665
"EHHADH","EHHADH",289.41655
"SNX19","SNX19",1464.4348
"HMGB3","HMGB3",663.1834
"REEP2","REEP2",32.0686
"CALR","CALR",18705.3743
"PTDSS1","PTDSS1",1835.0435
"WDR34","WDR34",1622.58435
"C15ORF41","C15ORF41",149.8662
"EIF2AK4","EIF2AK4",1340.9508
"ATL3","ATL3",719.2138
"ZDHHC3","ZDHHC3",2024.0443
"FYN","FYN",571.754
"PPP1CA","PPP1CA",3909.75
"PPP1CC","PPP1CC",2079.6027
"PPP1R1B","PPP1R1B",3.6044
"TBX6","TBX6",61.23845
"COASY","COASY",1608.3549
"KPTN","KPTN",125.2001
"PDE6D","PDE6D",348.5521
"TBC1D20","TBC1D20",954.2265
"EEF1A2","EEF1A2",93.6968
"CACNA2D2","CACNA2D2",18.0863
"SPANXN4","SPANXN4",0
"UBTF","UBTF",2506.3113
"KIF13A","KIF13A",966.2302
"SET","SET",3270.08455
"CD63","CD63",20965.6118
"NEO1","NEO1",1668.97525
"STAT6","STAT6",3642.4242
"HNRNPM","HNRNPM",3339.8582
"WDR6","WDR6",2932.54375
"TAF7L","TAF7L",2.3949
"PAPOLA","PAPOLA",3723.65075
"GABRG3","GABRG3",0
"KRT39","KRT39",0
"LZTR1","LZTR1",942.0891
"MICU1","MICU1",873.85465
"DCXR","DCXR",1161.04615
"PCYT1A","PCYT1A",438.57085
"AMPD2","AMPD2",915.36655
"ENTPD1","ENTPD1",1193.0679
"USP8","USP8",1023.014
"ARL6IP1","ARL6IP1",4831.4873
"ARSI","ARSI",55.3521
"PGAP1","PGAP1",295.7151
"WDR48","WDR48",943.5514
"ZFR","ZFR",1905.1325
"EIF4A3","EIF4A3",2576.5901
"NOSTRIN","NOSTRIN",20.11675
"SLC5A8","SLC5A8",0
"ITGB1BP2","ITGB1BP2",2.41855
"STT3A","STT3A",2710.43
"IKBKB","IKBKB",785.7143
"STT3B","STT3B",1716.5342
"LYRM4","LYRM4",231.0616
"ZNF582","ZNF582",16.85275
"NLRP6","NLRP6",3.4895
"SLC30A7","SLC30A7",943.5686
"CTTNBP2NL","CTTNBP2NL",785.7893
"MAGI3","MAGI3",255.7916
"TRIM33","TRIM33",916.4277
"UBE2J2","UBE2J2",901.83205
"SNX27","SNX27",1231.4355
"FLAD1","FLAD1",906.6317
"TRIM46","TRIM46",30.625
"CELA2A","CELA2A",0
"PLEKHM2","PLEKHM2",1746.6366
"ARHGAP30","ARHGAP30",582.4955
"C1ORF110","C1ORF110",0
"RGS5","RGS5",1048.5502
"RXRG","RXRG",2.9932
"GPA33","GPA33",4.6343
"SPATA21","SPATA21",0
"NADK","NADK",1289.6026
"NME7","NME7",232.70025
"NBPF1","NBPF1",447.2973
"MROH9","MROH9",0.5837
"KLHL20","KLHL20",437.61205
"RFWD2","RFWD2",761.1795
"FAM163A","FAM163A",4.41995
"TOR1AIP2","TOR1AIP2",479.4959
"XPR1","XPR1",1318.2188
"ZNF648","ZNF648",0.5694
"RGL1","RGL1",415.5425
"C1ORF21","C1ORF21",7.049
"RNF2","RNF2",651.055
"RGS18","RGS18",33.1192
"DENND1B","DENND1B",84.0948
"NR5A2","NR5A2",28.0887
"PPP1R12B","PPP1R12B",549.1095
"ETNK2","ETNK2",652.23275
"IL19","IL19",0.6605
"PFKFB2","PFKFB2",642.9315
"HHAT","HHAT",177.7067
"RCOR3","RCOR3",624.7257
"INTS7","INTS7",726.9662
"KCNK2","KCNK2",6.28485
"GPATCH2","GPATCH2",248.6732
"RRP15","RRP15",570.02035
"LYPLAL1","LYPLAL1",296.88975
"FBXO28","FBXO28",972.6447
"CNIH4","CNIH4",961.0973
"CNIH3","CNIH3",21.519
"DNAH14","DNAH14",95.6284
"C1ORF95","C1ORF95",10.514
"RHOU","RHOU",377.3369
"GALNT2","GALNT2",2731.4129
"FAM89A","FAM89A",305.52595
"ARID4B","ARID4B",1012.8714
"TCEA3","TCEA3",98.9541
"GREM2","GREM2",9.0162
"KMO","KMO",80.2434
"EXO1","EXO1",223.21535
"C1ORF101","C1ORF101",5.37275
"EFCAB2","EFCAB2",57.5043
"KIF26B","KIF26B",174.9298
"SMYD3","SMYD3",238.38
"ZNF124","ZNF124",56.27585
"ZNF692","ZNF692",390.4691
"NCMAP","NCMAP",6.31715
"RPS6KA1","RPS6KA1",1342.77505
"PHACTR4","PHACTR4",1113.4412
"COL16A1","COL16A1",902.3548
"AGO1","AGO1",841.2417
"GNL2","GNL2",1237.3331
"RHBDL2","RHBDL2",17.5079
"SCMH1","SCMH1",916.9987
"FOXJ3","FOXJ3",1198.43505
"CCDC24","CCDC24",168.2873
"MAST2","MAST2",1007.0488
"NSUN4","NSUN4",542.0775
"SLC5A9","SLC5A9",4.4952
"FAF1","FAF1",783.62745
"NRD1","NRD1",2478.58785
"ZYG11A","ZYG11A",2.2425
"FGGY","FGGY",131.4042
"DOCK7","DOCK7",722.89905
"PIGK","PIGK",590.7709
"AK5","AK5",9.6286
"MCOLN2","MCOLN2",59.6794
"LRRC8B","LRRC8B",605.70705
"TGFBR3","TGFBR3",273.98885
"EVI5","EVI5",412.5809
"BCAR3","BCAR3",497.9771
"LPPR5","LPPR5",0.4871
"AFF3","AFF3",36.8764
"CHST10","CHST10",162.80265
"NMS","NMS",0
"MAP4K4","MAP4K4",2634.7925
"TMEM182","TMEM182",106.7684
"NOL10","NOL10",559.71325
"LIMS1","LIMS1",405.8423
"PDIA6","PDIA6",8489.68315
"SH3RF3","SH3RF3",116.084
"TMEM87B","TMEM87B",1354.0492
"POLR1B","POLR1B",642.9338
"IL36G","IL36G",0.6431
"PTPN4","PTPN4",216.0149
"EPB41L5","EPB41L5",322.2264
"GPR39","GPR39",82.61805
"TMEM163","TMEM163",112.7611
"LYPD6B","LYPD6B",4.7079
"LYPD6","LYPD6",58.63235
"UPP2","UPP2",0.1461
"CCDC148","CCDC148",7.52435
"PXDN","PXDN",1053.4255
"STK39","STK39",455.7241
"TLK1","TLK1",1211.2676
"DYNC1I2","DYNC1I2",1517.14275
"CDCA7","CDCA7",104.10335
"OLA1","OLA1",1579.3397
"CIR1","CIR1",898.6486
"ATF2","ATF2",500.8709
"OSBPL6","OSBPL6",51.1719
"FKBP7","FKBP7",283.5867
"PLEKHA3","PLEKHA3",326.4281
"ZNF385B","ZNF385B",12.8119
"DIRC1","DIRC1",0.4193
"MYO1B","MYO1B",1771.3249
"OSR1","OSR1",11.69775
"SPATS2L","SPATS2L",1534.26285
"CLK1","CLK1",1144.0893
"NYAP2","NYAP2",0.76885
"FBXO36","FBXO36",108.9356
"KLHL29","KLHL29",26.6712
"MFSD2B","MFSD2B",29.5954
"FAM228A","FAM228A",1.7001
"DNMT3A","DNMT3A",642.9985
"DTNB","DTNB",397.97575
"NRBP1","NRBP1",2307.0807
"TSSC1","TSSC1",593.78995
"TTC27","TTC27",372.10825
"EIF2AK2","EIF2AK2",389.8337
"SULT6B1","SULT6B1",0
"QPCT","QPCT",233.17825
"CDC42EP3","CDC42EP3",547.30635
"MTA3","MTA3",700.3425
"THADA","THADA",892.9234
"CAMKMT","CAMKMT",53.79535
"SRBD1","SRBD1",387.7274
"PRKCE","PRKCE",166.416
"KCNK12","KCNK12",6.0491
"CCDC85A","CCDC85A",18.07745
"PUS10","PUS10",155.2848
"VPS54","VPS54",770.921
"FBXO48","FBXO48",27.4568
"APLF","APLF",65.10565
"ARHGAP25","ARHGAP25",247.2806
"BMP10","BMP10",0
"CMPK2","CMPK2",215.8422
"RNF144A","RNF144A",530.2263
"EXOC6B","EXOC6B",113.943
"LRRTM4","LRRTM4",0.9684
"IMMT","IMMT",2195.74565
"FABP1","FABP1",0
"KIDINS220","KIDINS220",1894.1469
"MBOAT2","MBOAT2",343.7689
"ASAP2","ASAP2",865.2026
"MAL","MAL",10.0133
"ANKRD36","ANKRD36",110.37325
"TMEM131","TMEM131",1608.677
"TSGA10","TSGA10",40.3066
"TBC1D23","TBC1D23",701.4787
"NIT2","NIT2",693.45785
"ABI3BP","ABI3BP",147.4114
"IFT57","IFT57",664.7815
"DZIP3","DZIP3",310.20165
"DPPA2","DPPA2",0
"PVRL3","PVRL3",68.2931
"HRH1","HRH1",177.6804
"BOC","BOC",135.6836
"ATG7","ATG7",730.4372
"TIGIT","TIGIT",69.5142
"LSAMP","LSAMP",36.3062
"IGSF11","IGSF11",36.3912
"UPK1B","UPK1B",0.7582
"GSK3B","GSK3B",1590.7884
"RABL3","RABL3",481.56205
"POLQ","POLQ",141.88315
"KPNA1","KPNA1",1597.6747
"SEMA5B","SEMA5B",20.5664
"C3ORF22","C3ORF22",0
"EEFSEC","EEFSEC",407.459
"RPL32","RPL32",19033.8741
"COL6A5","COL6A5",1.1359
"NEK11","NEK11",129.7226
"STAG1","STAG1",773.274
"PIK3CB","PIK3CB",1095.5541
"SLC25A36","SLC25A36",1539.9652
"RNF7","RNF7",1592.40815
"XRN1","XRN1",942.83345
"TRPC1","TRPC1",51.7742
"PLSCR5","PLSCR5",0
"MBNL1","MBNL1",2492.8127
"LEKR1","LEKR1",16.0266
"VEPH1","VEPH1",11.0877
"C3ORF55","C3ORF55",1.2756
"KPNA4","KPNA4",1658.95085
"PPM1L","PPM1L",58.8202
"NMD3","NMD3",832.03675
"OTOL1","OTOL1",0
"DPH3","DPH3",724.97905
"RFTN1","RFTN1",532.82855
"ZBBX","ZBBX",0.12025
"SEC62","SEC62",4056.7605
"GPR160","GPR160",80.7477
"TNIK","TNIK",245.9257
"NCEH1","NCEH1",433.6619
"TBC1D5","TBC1D5",1265.1441
"KCNMB2","KCNMB2",0.9648
"ZMAT3","ZMAT3",127.80725
"ACTL6A","ACTL6A",954.1355
"USP13","USP13",408.57705
"PEX5L","PEX5L",1.8968
"MCF2L2","MCF2L2",11.96515
"C3ORF70","C3ORF70",72.3567
"SENP2","SENP2",804.2468
"TRA2B","TRA2B",2709.9803
"DGKG","DGKG",32.7308
"ST6GAL1","ST6GAL1",1270.4777
"LPP","LPP",259.9461
"IL1RAP","IL1RAP",315.5748
"UTS2B","UTS2B",2.1262
"MB21D2","MB21D2",167.9727
"XXYLT1","XXYLT1",208.4913
"ACAP2","ACAP2",1123.1355
"APOD","APOD",179.35945
"UBE2E2","UBE2E2",159.7142
"EOMES","EOMES",44.7171
"CMC1","CMC1",111.24275
"C3ORF35","C3ORF35",4.5872
"ZNF619","ZNF619",84.9851
"ZNF501","ZNF501",39.0838
"KIF15","KIF15",174.0718
"SCAP","SCAP",1741.7956
"QRICH1","QRICH1",1419.18605
"FAM107A","FAM107A",40.3259
"CADPS","CADPS",5.40165
"SLC25A26","SLC25A26",269.78625
"FAM19A1","FAM19A1",0.4794
"FRMD4B","FRMD4B",683.3024
"LMCD1","LMCD1",300.8127
"CRYBG3","CRYBG3",245.7187
"EMCN","EMCN",97.844
"CLNK","CLNK",0.6743
"TET2","TET2",708.7313
"TBCK","TBCK",412.77515
"SGMS2","SGMS2",296.217
"COL25A1","COL25A1",5.29285
"ELOVL6","ELOVL6",190.8597
"CAMK2D","CAMK2D",781.0156
"TNIP3","TNIP3",7.6749
"BOD1L1","BOD1L1",943.5854
"INPP4B","INPP4B",159.35275
"ANAPC10","ANAPC10",82.5043
"C1QTNF7","C1QTNF7",5.3945
"MND1","MND1",107.6076
"RAPGEF2","RAPGEF2",677.6141
"TAPT1","TAPT1",309.0582
"LDB2","LDB2",137.0651
"ANXA10","ANXA10",0
"SH3RF1","SH3RF1",520.7006
"GLRA3","GLRA3",0
"NEIL3","NEIL3",39.1153
"LCORL","LCORL",54.8771
"IRF2","IRF2",400.9584
"UFSP2","UFSP2",469.8154
"POLN","POLN",9.2411
"CCDC149","CCDC149",287.43575
"SEL1L3","SEL1L3",952.17875
"PCDH7","PCDH7",215.714
"PGM2","PGM2",632.0542
"APBB2","APBB2",551.9333
"SLC30A9","SLC30A9",1113.0682
"NSG1","NSG1",11.64065
"STX18","STX18",467.6953
"YIPF7","YIPF7",0
"COX7B2","COX7B2",0
"GABRA4","GABRA4",0
"TXK","TXK",15.6995
"USP46","USP46",553.3952
"LNX1","LNX1",70.3885
"C4ORF50","C4ORF50",0.40535
"NPFFR2","NPFFR2",0.34085
"SORCS2","SORCS2",100.52885
"SDAD1","SDAD1",879.6402
"BMP2K","BMP2K",232.3269
"SH3TC1","SH3TC1",469.0694
"SCD5","SCD5",181.19445
"LIN54","LIN54",412.8225
"CDS1","CDS1",16.04675
"GPRIN3","GPRIN3",80.4628
"DAP","DAP",2581.9276
"FBXL17","FBXL17",522.93165
"FER","FER",70.2493
"TMEM232","TMEM232",40.3173
"NREP","NREP",2127.3164
"KCNN2","KCNN2",9.2308
"PGGT1B","PGGT1B",72.6312
"FEM1C","FEM1C",660.9324
"AP3S1","AP3S1",815.75305
"SEMA6A","SEMA6A",160.44095
"SNX24","SNX24",254.3967
"GRAMD3","GRAMD3",213.39095
"PRRC1","PRRC1",1409.14255
"CHSY3","CHSY3",53.8658
"CDC42SE2","CDC42SE2",2273.9614
"C5ORF56","C5ORF56",40.9901
"JADE2","JADE2",1446.3491
"CTNNA1","CTNNA1",8673.7526
"STK32A","STK32A",0.5612
"GRPEL2","GRPEL2",409.4808
"CAMK2A","CAMK2A",7.732
"GABRB2","GABRB2",2.88325
"MYO10","MYO10",1693.59365
"UBTD2","UBTD2",634.1399
"ATP6V0E1","ATP6V0E1",3300.5982
"CREBRF","CREBRF",237.28705
"BASP1","BASP1",419.8531
"CPEB4","CPEB4",777.9158
"RUFY1","RUFY1",1013.1471
"CANX","CANX",17745.0199
"PRDM9","PRDM9",0
"NPR3","NPR3",15.71215
"TTC23L","TTC23L",4.0954
"NADK2","NADK2",505.5921
"PTGER4","PTGER4",162.31
"AHRR","AHRR",32.3736
"ADAMTS16","ADAMTS16",18.58215
"ITGA2","ITGA2",738.282
"RAB3C","RAB3C",0.3083
"ZSWIM6","ZSWIM6",393.4295
"RGS7BP","RGS7BP",2.2391
"CWC27","CWC27",374.7562
"UBE2QL1","UBE2QL1",843.1839
"SRD5A1","SRD5A1",310.4056
"FCHO2","FCHO2",627.95705
"ANKRD31","ANKRD31",4.7229
"S100Z","S100Z",1.2103
"LHFPL2","LHFPL2",1357.6888
"ATG10","ATG10",70.8227
"MCTP1","MCTP1",80.4599
"BVES","BVES",66.0195
"SCML4","SCML4",17.21715
"METTL24","METTL24",1.935
"CDK19","CDK19",691.3647
"SLC35F1","SLC35F1",4.9122
"TBC1D32","TBC1D32",46.6345
"SERINC1","SERINC1",4788.92495
"CLVS2","CLVS2",0
"PHACTR1","PHACTR1",24.1949
"MOXD1","MOXD1",391.6028
"GFOD1","GFOD1",18.9721
"NHSL1","NHSL1",222.71925
"CCDC28A","CCDC28A",381.2296
"REPS1","REPS1",637.79475
"GPR126","GPR126",702.2477
"ADGB","ADGB",0.3051
"UST","UST",65.22865
"ZDHHC14","ZDHHC14",238.7995
"SNX9","SNX9",1539.4867
"SYTL3","SYTL3",107.0524
"PACRG","PACRG",8.1399
"GMDS","GMDS",294.4311
"CAP2","CAP2",164.2412
"FAM8A1","FAM8A1",937.94395
"NUP153","NUP153",1472.6449
"DEK","DEK",3066.63505
"RNF144B","RNF144B",738.3938
"DCDC2","DCDC2",6.9659
"FAM65B","FAM65B",140.81545
"SLC17A1","SLC17A1",0
"TRIM31","TRIM31",2.1054
"GNL1","GNL1",1420.6847
"VARS","VARS",2123.7556
"SLC22A23","SLC22A23",188.2737
"WDR46","WDR46",991.676
"PPARD","PPARD",967.4179
"KIF6","KIF6",23.4074
"CCND3","CCND3",1552.2788
"ABCC10","ABCC10",551.4563
"SUPT3H","SUPT3H",138.9086
"RCAN2","RCAN2",106.8463
"TNFRSF21","TNFRSF21",2216.36825
"CDYL","CDYL",508.5584
"EXOC2","EXOC2",742.1065
"TFAP2D","TFAP2D",0
"LRRC1","LRRC1",378.1616
"HCRTR2","HCRTR2",0
"BEND6","BEND6",34.68745
"CAGE1","CAGE1",0.7573
"BMP6","BMP6",30.3482
"IBTK","IBTK",967.3852
"RNGTT","RNGTT",430.05205
"RRAGD","RRAGD",223.7605
"FHL5","FHL5",15.9499
"GPR63","GPR63",4.30625
"C7ORF61","C7ORF61",2.56005
"LHFPL3","LHFPL3",1.5695
"C7ORF50","C7ORF50",976.60935
"PUS7","PUS7",359.68555
"ATXN7L1","ATXN7L1",222.7788
"PRKAR2B","PRKAR2B",104.3593
"GNG12","GNG12",3254.8117
"EPC2","EPC2",608.6417
"CLEC4D","CLEC4D",4.3057
"POC1B","POC1B",419.57335
"ATP2B1","ATP2B1",1215.5872
"CEP83","CEP83",152.90775
"ELK3","ELK3",594.8986
"CD69","CD69",87.36065
"UBAC2","UBAC2",1389.292
"CLYBL","CLYBL",67.4368
"TEX30","TEX30",146.3825
"MYO16","MYO16",6.8486
"RAB20","RAB20",334.1902
"MCF2L","MCF2L",371.4868
"TMEM255B","TMEM255B",27.32055
"WASF3","WASF3",108.0808
"USP12","USP12",287.1504
"LNX2","LNX2",505.0573
"PAN3","PAN3",567.37995
"SLC7A1","SLC7A1",1592.9705
"KATNAL1","KATNAL1",320.7457
"ALOX5AP","ALOX5AP",89.9093
"N4BP2L2","N4BP2L2",1001.9745
"PDS5B","PDS5B",732.1981
"RFC3","RFC3",236.1977
"DCLK1","DCLK1",63.0479
"LHFP","LHFP",352.39625
"FOXO1","FOXO1",532.7527
"ELF1","ELF1",1725.4955
"DGKH","DGKH",30.8552
"TSC22D1","TSC22D1",3841.5994
"SETDB2","SETDB2",224.2389
"EBPL","EBPL",334.46425
"KLHL1","KLHL1",0
"SCEL","SCEL",1.5607
"RNF219","RNF219",387.0803
"UGGT2","UGGT2",425.0253
"RAP2A","RAP2A",461.0012
"STK24","STK24",3125.3365
"PPP2R5C","PPP2R5C",2004.3545
"ASPG","ASPG",0.8172
"TOX4","TOX4",1897.50355
"OXA1L","OXA1L",2501.93115
"JPH4","JPH4",8.8889
"DHRS4L1","DHRS4L1",12.3622
"RNF31","RNF31",931.4227
"PRKD1","PRKD1",122.5974
"SCFD1","SCFD1",838.035
"KIAA0391","KIAA0391",611.7802
"RALGAPA1","RALGAPA1",268.4464
"KLHDC1","KLHDC1",18.5435
"SAV1","SAV1",540.7407
"TMX1","TMX1",1127.3256
"GNG2","GNG2",335.0694
"TXNDC16","TXNDC16",218.38265
"CDKN3","CDKN3",113.766
"SAMD4A","SAMD4A",376.2045
"LGALS3","LGALS3",2924.9825
"ATG14","ATG14",432.1456
"KTN1","KTN1",4054.3448
"TMEM260","TMEM260",283.7365
"EXOC5","EXOC5",1346.9107
"C14ORF105","C14ORF105",0
"C14ORF37","C14ORF37",79.6574
"MNAT1","MNAT1",202.472
"PPP2R5E","PPP2R5E",663.8282
"EIF2S1","EIF2S1",1621.7818
"TMEM229B","TMEM229B",813.7347
"DPF3","DPF3",9.98225
"NUMB","NUMB",1559.2186
"TTLL5","TTLL5",466.9295
"SEL1L","SEL1L",2456.9641
"EFCAB11","EFCAB11",145.1943
"GPR68","GPR68",34.9196
"ITPK1","ITPK1",2214.8549
"CLMN","CLMN",481.7025
"SYNE3","SYNE3",32.68945
"SETD3","SETD3",1180.3896
"PCSK6","PCSK6",242.57645
"NBEAP1","NBEAP1",2.25525
"GABRA5","GABRA5",0.00965
"FAM189A1","FAM189A1",2.2484
"TJP1","TJP1",2199.3316
"MTMR10","MTMR10",814.951
"DPH6","DPH6",110.3335
"RMDN3","RMDN3",780.0732
"OIP5","OIP5",55.0837
"SNAP23","SNAP23",1390.3358
"SERF2","SERF2",5325.7127
"FRMD5","FRMD5",29.96405
"SORD","SORD",483.05945
"GALK2","GALK2",406.91165
"FAM227B","FAM227B",19.4246
"GLDN","GLDN",27.8601
"GNB5","GNB5",449.6261
"GCOM1","GCOM1",19.8921
"FAM81A","FAM81A",23.6404
"RORA","RORA",210.5902
"PTPLAD1","PTPLAD1",2324.7206
"MAP2K5","MAP2K5",311.2411
"THSD4","THSD4",287.1583
"NRG4","NRG4",1.1359
"C15ORF27","C15ORF27",12.2183
"SCAPER","SCAPER",289.7222
"PEAK1","PEAK1",675.553
"TBC1D2B","TBC1D2B",1282.5883
"MORF4L1","MORF4L1",4229.4061
"C15ORF26","C15ORF26",1.1237
"SEC11A","SEC11A",2436.1201
"RHCG","RHCG",1.61385
"FAM169B","FAM169B",0
"PGPEP1L","PGPEP1L",0.0116
"LRRC28","LRRC28",223.3449
"SHISA9","SHISA9",66.5138
"NPRL3","NPRL3",927.2124
"SYT17","SYT17",26.11055
"DCUN1D3","DCUN1D3",187.2656
"LCMT1","LCMT1",649.1358
"GSG1L","GSG1L",0
"CCDC101","CCDC101",217.0088
"C16ORF92","C16ORF92",0.0147
"ITFG1","ITFG1",929.2308
"SEC14L5","SEC14L5",7.759
"CHD9","CHD9",919.55685
"NAE1","NAE1",694.46125
"LRRC29","LRRC29",63.8691
"ATP6V0D1","ATP6V0D1",2066.9572
"EDC4","EDC4",1273.0639
"NFATC3","NFATC3",693.97605
"TANGO6","TANGO6",268.8308
"PDPR","PDPR",809.7444
"MTSS1L","MTSS1L",1047.775
"VAT1L","VAT1L",12.4283
"CLEC3A","CLEC3A",0
"CMIP","CMIP",1754.10535
"CDH13","CDH13",123.06105
"NECAB2","NECAB2",4.99155
"KIAA0513","KIAA0513",299.2832
"GSE1","GSE1",1219.50175
"CBFA2T3","CBFA2T3",45.44075
"USP7","USP7",2311.4914
"GAS7","GAS7",246.1724
"RPA1","RPA1",2188.4912
"DRG2","DRG2",468.4803
"EVPLL","EVPLL",0.2992
"SLC47A1","SLC47A1",98.3502
"LGALS9","LGALS9",1349.3875
"NLK","NLK",335.4103
"FAM222B","FAM222B",588.70345
"ERAL1","ERAL1",883.1082
"CORO6","CORO6",9.9541
"GOSR1","GOSR1",959.1219
"RAP1GAP2","RAP1GAP2",36.42835
"SUZ12","SUZ12",971.3416
"MYO1D","MYO1D",2466.7337
"ASIC2","ASIC2",0.8192
"SRCIN1","SRCIN1",78.7854
"STAC2","STAC2",6.9952
"FBXL20","FBXL20",146.5589
"RAB5C","RAB5C",3397.89105
"ATP6V0A1","ATP6V0A1",1525.3748
"C17ORF53","C17ORF53",81.0996
"MAP3K14","MAP3K14",552.63765
"CRHR1","CRHR1",0.84445
"SPNS2","SPNS2",135.2916
"LRRC46","LRRC46",18.2806
"CXCL16","CXCL16",825.8065
"PCTP","PCTP",576.7038
"ANKFN1","ANKFN1",1.2658
"TRIM25","TRIM25",1024.4667
"MSI2","MSI2",350.24155
"MTMR4","MTMR4",1076.851
"YPEL2","YPEL2",260.02655
"USP32","USP32",968.3721
"INTS2","INTS2",327.09575
"TLK2","TLK2",601.0903
"SLC39A11","SLC39A11",629.4622
"SDK2","SDK2",34.39685
"RAB37","RAB37",56.204
"KCTD2","KCTD2",838.13745
"ARMC7","ARMC7",334.2499
"EXOC7","EXOC7",2909.47455
"PGS1","PGS1",486.3115
"BAHCC1","BAHCC1",423.31245
"P4HB","P4HB",22322.4317
"PIK3R6","PIK3R6",32.41715
"NTN1","NTN1",36.8078
"CEP192","CEP192",512.15
"SNRPD1","SNRPD1",505.6288
"OSBPL1A","OSBPL1A",847.0033
"ZNF521","ZNF521",113.7225
"CHST9","CHST9",20.5786
"NDC80","NDC80",295.2756
"KLHL14","KLHL14",2.9597
"MAPRE2","MAPRE2",690.7381
"CELF4","CELF4",3.31185
"DLGAP1","DLGAP1",10.302
"ST8SIA5","ST8SIA5",6.0631
"ELAC1","ELAC1",80.5095
"NEDD4L","NEDD4L",1216.3966
"CDH20","CDH20",0.46635
"ZADH2","ZADH2",657.54065
"ZNF516","ZNF516",210.66545
"PARD6G","PARD6G",450.7945
"S1PR2","S1PR2",169.4632
"SBNO2","SBNO2",2285.1515
"ZNF136","ZNF136",170.79505
"SYDE1","SYDE1",241.2186
"HSH2D","HSH2D",64.593
"SUGP2","SUGP2",756.80735
"HAPLN4","HAPLN4",1.9637
"ZNF492","ZNF492",1.0222
"VSTM2B","VSTM2B",0
"URI1","URI1",1289.5821
"CELF5","CELF5",2.0888
"NUDT19","NUDT19",531.1855
"KCTD15","KCTD15",8.614
"LIN37","LIN37",144.6036
"CAPNS1","CAPNS1",6760.4349
"ZNF345","ZNF345",51.1775
"MRPL54","MRPL54",617.1333
"SYCN","SYCN",0.3873
"TEX101","TEX101",0
"SHC2","SHC2",199.8863
"ZNF223","ZNF223",104.212
"CKM","CKM",4.8873
"NOVA2","NOVA2",16.0779
"SAE1","SAE1",1777.96765
"RASIP1","RASIP1",194.32795
"SNRNP70","SNRNP70",2270.3061
"LRRC4B","LRRC4B",10.53725
"SIGLEC14","SIGLEC14",57.5255
"ZNF350","ZNF350",124.0458
"ZNF432","ZNF432",93.0175
"ZNF841","ZNF841",164.5398
"ZNF611","ZNF611",159.25535
"ZIM2","ZIM2",0
"ZNF749","ZNF749",57.6023
"ZNF154","ZNF154",18.5687
"SLC27A5","SLC27A5",76.9923
"RFX2","RFX2",114.7046
"TASP1","TASP1",215.9862
"ESF1","ESF1",395.29055
"PCSK2","PCSK2",1.7406
"DTD1","DTD1",580.3726
"SLC24A3","SLC24A3",24.9633
"PTPRA","PTPRA",1992.3518
"HCK","HCK",619.7328
"C20ORF194","C20ORF194",509.42415
"RALY","RALY",3439.4813
"PROCR","PROCR",276.0408
"RPRD1B","RPRD1B",850.8361
"BPI","BPI",0.85805
"MYBL2","MYBL2",963.2502
"RIMS4","RIMS4",5.5875
"STAU1","STAU1",3137.3783
"CSNK2A1","CSNK2A1",1296.05035
"SLC9A8","SLC9A8",434.9674
"RNF114","RNF114",1990.4688
"DOK5","DOK5",15.1719
"RAB22A","RAB22A",1089.9262
"PHACTR3","PHACTR3",4.976
"C20ORF166","C20ORF166",0
"MYT1","MYT1",3.2128
"HAO1","HAO1",0
